transaction_id,datetime,customer_id,store_id,item_id,category,quantity,price_base,sum_total,is_refund
TXN-0004966,1/1/2023 0:13,CUST-375320,4,5db78f2812c6,Electronics,5.003,79.83,399.39,FALSE
TXN-0000452,1/1/2023 6:28,CUST-422842,3,6402808de4c8,Sports,3.002,229.9,690.16,FALSE
TXN-0001983,1/1/2023 10:07,CUST-106524,1,002f51c34a7a,Sports,6.003,79.9,479.64,FALSE
TXN-0002836,1/1/2023 11:31,CUST-967489,7,c0610f7b2a1d,Sports,7.004,29.9,209.42,FALSE
TXN-0004301,1/1/2023 11:37,CUST-138134,9,73833f642178,Electronics,3.002,75,225.15,FALSE
TXN-0004718,1/1/2023 12:12,CUST-961497,4,0297f8f65b3c,Clothing,2.001,49.84,99.73,FALSE
TXN-0001725,1/1/2023 12:22,CUST-843178,5,59191a8f20cf,Home,1.867,649.9,1213.36,FALSE
TXN-0003540,1/1/2023 12:34,CUST-648528,10,39b46793f326,Sports,28.015,7.9,221.32,FALSE
TXN-0000327,1/1/2023 13:57,CUST-738152,7,e888a8d8a43c,Grocery,0.28,560.89,157.05,FALSE
TXN-0002424,1/1/2023 14:05,CUST-849624,7,7e84c1b79334,Beauty,4.002,79.9,319.76,FALSE
TXN-0001866,1/1/2023 14:30,CUST-334780,10,3bcea9a07b9a,Grocery,9.005,79.71,717.79,FALSE
TXN-0004489,1/1/2023 16:18,CUST-507628,7,3e25ad475f2a,Sports,1.001,149.9,150.05,FALSE
TXN-0002416,1/1/2023 16:32,CUST-931382,3,74bebff34bca,Clothing,2.001,49.5,99.05,FALSE
TXN-0002460,1/1/2023 16:34,CUST-608993,7,d3858db7de5d,Beauty,1.001,79.9,79.98,FALSE
TXN-0001827,1/1/2023 16:38,CUST-128912,3,b17b27349d7a,Grocery,0.116,1098.97,127.48,FALSE
TXN-0004250,1/1/2023 17:27,CUST-290960,1,ca8b6775fed6,Grocery,82.062,109,8944.76,FALSE
TXN-0002787,1/1/2023 18:23,CUST-185425,5,8a8b2c76c282,Clothing,1.001,174,174.17,FALSE
TXN-0004186,1/1/2023 18:27,CUST-651918,4,4e0fbcf99cf9,Clothing,3.002,69.63,209.03,FALSE
TXN-0003085,1/1/2023 20:32,CUST-565300,5,862f3899ba02,Beauty,1.001,85.78,85.87,FALSE
TXN-0004078,1/2/2023 8:16,CUST-360162,2,4a1cfadea11d,Clothing,3.003,69.9,209.91,FALSE
TXN-0004253,1/2/2023 9:04,CUST-699888,7,6863d0f6243a,Beauty,5.005,99.9,500,FALSE
TXN-0000967,1/2/2023 9:39,CUST-737771,3,6aecf08bcd8c,Electronics,10.011,31.82,318.55,FALSE
TXN-0002236,1/2/2023 10:15,CUST-853382,2,ec81750d565a,Sports,2.002,41.9,83.88,FALSE
TXN-0003892,1/2/2023 11:01,CUST-679006,2,e600fbc8ec58,Clothing,1.001,39.9,39.94,FALSE
TXN-0001140,1/2/2023 11:51,CUST-799726,5,666bc0539565,Clothing,3.003,320,960.96,FALSE
TXN-0004130,1/2/2023 12:19,CUST-555581,8,3ba1b6e1bfa1,Beauty,1.001,110,110.11,FALSE
TXN-0002891,1/2/2023 12:36,CUST-294012,8,69731fcfc598,Home,14.44,948.65,13698.51,FALSE
TXN-0004620,1/2/2023 13:28,CUST-518327,3,5fed687c2f00,Sports,1.001,129.9,130.03,FALSE
TXN-0004518,1/2/2023 13:32,CUST-322569,2,02b9c32fb5bb,Home,1.001,109.9,110.01,FALSE
TXN-0000784,1/2/2023 14:47,CUST-662571,3,327ac8fdf7b6,Home,3.003,57.9,173.87,FALSE
TXN-0002598,1/2/2023 15:10,CUST-770448,4,8a8e14e9eeb9,Clothing,1.001,69.9,69.97,FALSE
TXN-0003292,1/2/2023 15:22,CUST-147841,10,fabfe4d14204,Electronics,3.003,148.7,446.55,FALSE
TXN-0000053,1/2/2023 16:02,CUST-973998,9,c07f3eeb7002,Sports,6.007,74.9,449.92,FALSE
TXN-0001929,1/2/2023 17:09,CUST-870287,2,d8078419326d,Home,1.001,119.9,120.02,FALSE
TXN-0002903,1/2/2023 18:05,CUST-473887,10,941758c12832,Electronics,1.001,1500,1501.5,FALSE
TXN-0003197,1/2/2023 18:24,CUST-653967,4,e721400df85f,Clothing,2.002,89.9,179.98,FALSE
TXN-0003080,1/2/2023 20:08,CUST-626668,7,9518f1c4c1db,Home,1.001,54.9,54.95,FALSE
TXN-0004045,1/2/2023 20:47,CUST-906586,1,002f51c34a7a,Grocery,6.007,79.9,479.96,FALSE
TXN-0004836,1/2/2023 21:52,CUST-827406,9,338ad3c75e45,Beauty,6.007,119.63,718.62,FALSE
TXN-0000378,1/3/2023 9:27,CUST-417396,7,d2f975315972,Electronics,1.002,89.9,90.08,FALSE
TXN-0001134,1/3/2023 9:31,CUST-534450,9,f6c12c9ab8dc,Home,7.012,169.9,1191.34,FALSE
TXN-0003013,1/3/2023 10:10,CUST-347499,9,aff65297051a,Electronics,3.005,99.9,300.2,FALSE
TXN-0003132,1/3/2023 11:31,CUST-895310,3,8c9d638a9581,Beauty,1.002,88,88.18,FALSE
TXN-0000081,1/3/2023 12:48,CUST-647019,1,3b093e6c3a49,Grocery,3.005,38,114.19,FALSE
TXN-0001323,1/3/2023 12:56,CUST-303563,5,a18c8f859de1,Beauty,1.002,599.9,601.1,FALSE
TXN-0001885,1/3/2023 16:36,CUST-244478,10,a7da9fd8ea83,Electronics,24.039,67.35,1619.03,FALSE
TXN-0004823,1/3/2023 16:40,CUST-241013,3,c99ae3b4cfbd,Beauty,5.008,21.9,109.68,FALSE
TXN-0001449,1/3/2023 19:04,CUST-948184,4,b02f028fa592,Electronics,1.002,199.9,200.3,FALSE
TXN-0000613,1/3/2023 19:47,CUST-324434,6,9fd7dbfc626d,Clothing,0.557,598.99,333.64,FALSE
TXN-0004355,1/3/2023 20:23,CUST-378010,10,bee6dce79187,Grocery,0.619,749,463.63,FALSE
TXN-0000283,1/4/2023 8:31,CUST-884799,6,2d1a3f2a82f6,Home,2.004,100.9,202.2,FALSE
TXN-0000742,1/4/2023 11:04,CUST-484683,9,b00136fe74e8,Electronics,2.412,984.35,2374.25,FALSE
TXN-0004667,1/4/2023 14:39,CUST-963379,2,6402808de4c8,Clothing,3.007,229.9,691.31,FALSE
TXN-0001745,1/4/2023 15:20,CUST-614247,3,8d4d1754879b,Sports,2.004,139.9,280.36,FALSE
TXN-0000139,1/4/2023 15:49,CUST-994374,10,ef6c6fc6b982,Clothing,1.002,159.9,160.22,FALSE
TXN-0002245,1/4/2023 16:02,CUST-428567,2,1aab07a2a659,Electronics,7.015,99.9,700.8,FALSE
TXN-0002824,1/4/2023 16:42,CUST-817891,8,f8aebf5f2dcd,Home,6.013,24,144.31,FALSE
TXN-0003844,1/4/2023 17:13,CUST-211504,8,d05185243e19,Clothing,1.002,49.9,50,FALSE
TXN-0004065,1/4/2023 22:56,CUST-971502,5,211171fd6b9b,Grocery,1.002,251.01,251.51,FALSE
TXN-0000855,1/5/2023 10:05,CUST-740123,4,4546f27839a9,Home,3.008,89.9,270.42,FALSE
TXN-0001631,1/5/2023 10:14,CUST-223114,4,cb00e7ea3438,Home,22.06,52.49,1157.93,FALSE
TXN-0001410,1/5/2023 12:18,CUST-331037,9,ddd8c54ed70c,Grocery,3.008,18.9,56.85,FALSE
TXN-0003793,1/5/2023 13:00,CUST-392463,6,664c979b2d14,Grocery,2.005,1149.9,2305.55,FALSE
TXN-0001304,1/5/2023 17:31,CUST-797564,5,e0f99b7f3c3f,Clothing,1.003,499.9,501.4,FALSE
TXN-0001215,1/5/2023 17:42,CUST-719768,2,79c8034b06f9,Clothing,4.011,160,641.76,FALSE
TXN-0004463,1/5/2023 18:15,CUST-429106,8,6176e6f93cc7,Clothing,10.027,219.76,2203.53,FALSE
TXN-0002552,1/6/2023 9:31,CUST-881053,7,39ea48f7a28a,Clothing,2.007,182.91,367.1,FALSE
TXN-0001790,1/6/2023 11:03,CUST-511728,4,ca084e986974,Electronics,7.424,149.68,1111.22,FALSE
TXN-0001632,1/6/2023 13:50,CUST-308751,10,c837799bf9bc,Home,2.007,319,640.23,FALSE
TXN-0003027,1/6/2023 16:29,CUST-668354,4,260afda7fccb,Clothing,5.016,79.9,400.78,FALSE
TXN-0001468,1/6/2023 21:58,CUST-416016,1,f4cf55ec3df2,Grocery,1.003,159.9,160.38,FALSE
TXN-0000026,1/7/2023 9:32,CUST-702414,7,79fdc441b59f,Home,82.315,128.9,10610.4,FALSE
TXN-0002540,1/7/2023 10:35,CUST-456600,8,0d8859923544,Sports,1.004,279.9,281.02,FALSE
TXN-0002300,1/7/2023 11:53,CUST-408834,6,ad6427ee5b69,Beauty,3.012,124.6,375.3,FALSE
TXN-0004467,1/7/2023 11:53,CUST-794885,4,9b9092b418ba,Beauty,2.008,79.9,160.44,FALSE
TXN-0000993,1/7/2023 11:54,CUST-406943,8,b22bd41ce0bb,Electronics,3.012,791.7,2384.6,FALSE
TXN-0003746,1/7/2023 12:26,CUST-463973,2,e41760c06ce7,Clothing,29.111,78.72,2291.62,FALSE
TXN-0001779,1/7/2023 12:54,CUST-696804,4,5196747a75a4,Sports,1.004,119.9,120.38,FALSE
TXN-0000047,1/7/2023 13:45,CUST-656931,9,10930272a897,Electronics,1.004,129.9,130.42,FALSE
TXN-0003432,1/7/2023 13:45,CUST-904377,8,d487df2a87ee,Sports,10.038,129.58,1300.72,FALSE
TXN-0004196,1/7/2023 14:15,CUST-306785,3,50d7d4ce2d8a,Electronics,1.004,59.9,60.14,FALSE
TXN-0000151,1/7/2023 14:49,CUST-632763,6,b1fcab523700,Clothing,1.004,729.9,732.82,FALSE
TXN-0001430,1/7/2023 14:59,CUST-568243,9,a7f35fd99b34,Sports,22.084,29.6,653.69,FALSE
TXN-0004507,1/7/2023 14:59,CUST-115322,3,401eb8d03f1a,Grocery,1.004,89.9,90.26,FALSE
TXN-0003361,1/7/2023 15:26,CUST-237791,2,0297f8f65b3c,Grocery,2.008,49.84,100.08,FALSE
TXN-0000726,1/7/2023 16:10,CUST-164896,5,1b78a586a7ff,Home,1.004,59.5,59.74,FALSE
TXN-0001544,1/7/2023 16:41,CUST-873960,5,5c0242f5c553,Beauty,71.272,59.08,4210.75,FALSE
TXN-0003663,1/7/2023 17:30,CUST-915191,4,8ba2ae73daba,Clothing,4.015,32.9,132.09,FALSE
